epoch,loss,w,b,grad_norm
265,0.000510163,2.01631,0.947509,0.0887091
266,0.000497428,2.01611,0.948168,0.0875949
267,0.00048501,2.01591,0.948819,0.0864947
268,0.000472903,2.01571,0.949462,0.0854083
269,0.000461098,2.01551,0.950097,0.0843355
270,0.000449587,2.01531,0.950724,0.0832762
271,0.000438364,2.01512,0.951343,0.0822302
272,0.000427421,2.01493,0.951954,0.0811974
273,0.000416751,2.01474,0.952557,0.0801775
274,0.000406348,2.01456,0.953153,0.0791704
275,0.000396204,2.01438,0.953742,0.078176
276,0.000386314,2.0142,0.954323,0.0771941
277,0.00037667,2.01402,0.954896,0.0762245
278,0.000367267,2.01384,0.955463,0.0752671
279,0.000358099,2.01367,0.956022,0.0743217
280,0.00034916,2.0135,0.956575,0.0733882
281,0.000340444,2.01333,0.95712,0.0724664
282,0.000331945,2.01316,0.957659,0.0715562
283,0.000323659,2.01299,0.958191,0.0706574
284,0.000315579,2.01283,0.958716,0.0697699
285,0.000307701,2.01267,0.959234,0.0688935
286,0.00030002,2.01251,0.959746,0.0680282
287,0.00029253,2.01235,0.960252,0.0671737
288,0.000285228,2.0122,0.960751,0.06633
289,0.000278108,2.01204,0.961244,0.0654969
290,0.000271165,2.01189,0.961731,0.0646742
291,0.000264396,2.01174,0.962212,0.0638619
292,0.000257796,2.0116,0.962686,0.0630597
293,0.000251361,2.01145,0.963155,0.0622677
294,0.000245086,2.01131,0.963618,0.0614856
295,0.000238968,2.01116,0.964075,0.0607133
296,0.000233002,2.01102,0.964526,0.0599507
297,0.000227186,2.01089,0.964972,0.0591977
298,0.000221515,2.01075,0.965412,0.0584541
299,0.000215985,2.01061,0.965846,0.0577199
300,0.000210593,2.01048,0.966275,0.0569949
301,0.000205336,2.01035,0.966699,0.056279
302,0.00020021,2.01022,0.967117,0.0555721
303,0.000195212,2.01009,0.96753,0.0548741
304,0.000190339,2.00996,0.967938,0.0541849
305,0.000185588,2.00984,0.96834,0.0535043
306,0.000180955,2.00972,0.968738,0.0528323
307,0.000176438,2.00959,0.969131,0.0521687
308,0.000172033,2.00947,0.969518,0.0515134
309,0.000167739,2.00935,0.969901,0.0508664
310,0.000163551,2.00924,0.970279,0.0502275
311,0.000159469,2.00912,0.970653,0.0495966
312,0.000155488,2.00901,0.971021,0.0489736
313,0.000151606,2.00889,0.971385,0.0483585
314,0.000147822,2.00878,0.971745,0.0477511
315,0.000144132,2.00867,0.9721,0.0471513
316,0.000140534,2.00856,0.97245,0.0465591
317,0.000137026,2.00845,0.972796,0.0459743
318,0.000133605,2.00835,0.973138,0.0453968
319,0.00013027,2.00824,0.973475,0.0448266
320,0.000127018,2.00814,0.973808,0.0442636
321,0.000123847,2.00804,0.974137,0.0437076
322,0.000120755,2.00794,0.974462,0.0431586
323,0.000117741,2.00784,0.974783,0.0426165
324,0.000114802,2.00774,0.9751,0.0420812
325,0.000111936,2.00764,0.975412,0.0415527
326,0.000109142,2.00755,0.975721,0.0410307
327,0.000106417,2.00745,0.976026,0.0405154
328,0.000103761,2.00736,0.976327,0.0400065
329,0.00010117,2.00726,0.976625,0.039504
330,9.86449e-05,2.00717,0.976918,0.0390078
331,9.61824e-05,2.00708,0.977208,0.0385178
332,9.37814e-05,2.00699,0.977495,0.038034
333,9.14403e-05,2.00691,0.977777,0.0375563
334,8.91577e-05,2.00682,0.978056,0.0370846
335,8.6932e-05,2.00673,0.978332,0.0366188
336,8.47619e-05,2.00665,0.978604,0.0361588
337,8.2646e-05,2.00657,0.978873,0.0357047
338,8.05829e-05,2.00648,0.979138,0.0352562
339,7.85713e-05,2.0064,0.9794,0.0348134
340,7.66099e-05,2.00632,0.979659,0.0343761
341,7.46975e-05,2.00624,0.979914,0.0339443
342,7.28328e-05,2.00616,0.980167,0.0335179
343,7.10146e-05,2.00609,0.980416,0.0330969
344,6.92419e-05,2.00601,0.980662,0.0326812
345,6.75134e-05,2.00593,0.980905,0.0322707
346,6.5828e-05,2.00586,0.981145,0.0318654
347,6.41848e-05,2.00579,0.981381,0.0314652
348,6.25825e-05,2.00571,0.981615,0.0310699
349,6.10203e-05,2.00564,0.981846,0.0306797
350,5.9497e-05,2.00557,0.982074,0.0302943
351,5.80118e-05,2.0055,0.982299,0.0299138
352,5.65636e-05,2.00543,0.982522,0.0295381
353,5.51516e-05,2.00536,0.982741,0.0291671
354,5.37748e-05,2.0053,0.982958,0.0288007
355,5.24324e-05,2.00523,0.983172,0.028439
356,5.11236e-05,2.00516,0.983383,0.0280818
357,4.98474e-05,2.0051,0.983592,0.0277291
358,4.8603e-05,2.00504,0.983798,0.0273808
359,4.73897e-05,2.00497,0.984002,0.0270368
360,4.62067e-05,2.00491,0.984203,0.0266973
361,4.50533e-05,2.00485,0.984401,0.0263619
362,4.39286e-05,2.00479,0.984597,0.0260308
363,4.2832e-05,2.00473,0.984791,0.0257038
364,4.17628e-05,2.00467,0.984982,0.025381
365,4.07202e-05,2.00461,0.98517,0.0250622
366,3.97037e-05,2.00455,0.985356,0.0247474
367,3.87126e-05,2.00449,0.98554,0.0244366
368,3.77462e-05,2.00444,0.985722,0.0241296
369,3.68039e-05,2.00438,0.985901,0.0238265
370,3.58852e-05,2.00433,0.986078,0.0235273
371,3.49894e-05,2.00427,0.986253,0.0232318
372,3.41159e-05,2.00422,0.986426,0.02294
373,3.32643e-05,2.00417,0.986596,0.0226518
374,3.24339e-05,2.00411,0.986765,0.0223673
375,3.16243e-05,2.00406,0.986931,0.0220864
376,3.08348e-05,2.00401,0.987095,0.0218089
377,3.00651e-05,2.00396,0.987257,0.021535
378,2.93146e-05,2.00391,0.987417,0.0212645
379,2.85828e-05,2.00386,0.987575,0.0209974
380,2.78693e-05,2.00381,0.987731,0.0207337
381,2.71736e-05,2.00376,0.987886,0.0204733
382,2.64952e-05,2.00372,0.988038,0.0202161
383,2.58338e-05,2.00367,0.988188,0.0199622
384,2.51889e-05,2.00362,0.988336,0.0197115
385,2.45601e-05,2.00358,0.988483,0.0194639
386,2.3947e-05,2.00353,0.988627,0.0192194
387,2.33492e-05,2.00349,0.98877,0.018978
388,2.27664e-05,2.00345,0.988911,0.0187396
389,2.2198e-05,2.0034,0.989051,0.0185042
390,2.16439e-05,2.00336,0.989188,0.0182718
391,2.11036e-05,2.00332,0.989324,0.0180423
392,2.05768e-05,2.00328,0.989458,0.0178157
393,2.00631e-05,2.00323,0.989591,0.0175919
394,1.95623e-05,2.00319,0.989721,0.017371
395,1.9074e-05,2.00315,0.98985,0.0171528
396,1.85978e-05,2.00311,0.989978,0.0169373
397,1.81335e-05,2.00308,0.990104,0.0167246
398,1.76809e-05,2.00304,0.990228,0.0165145
399,1.72395e-05,2.003,0.990351,0.0163071
400,1.68091e-05,2.00296,0.990472,0.0161023
401,1.63895e-05,2.00292,0.990592,0.0159
402,1.59804e-05,2.00289,0.99071,0.0157003
403,1.55815e-05,2.00285,0.990827,0.0155031
404,1.51925e-05,2.00282,0.990942,0.0153084
405,1.48133e-05,2.00278,0.991056,0.0151161
406,1.44435e-05,2.00274,0.991168,0.0149262
407,1.40829e-05,2.00271,0.991279,0.0147387
408,1.37314e-05,2.00268,0.991388,0.0145536
409,1.33886e-05,2.00264,0.991497,0.0143708
410,1.30544e-05,2.00261,0.991603,0.0141903
411,1.27285e-05,2.00258,0.991709,0.0140121
412,1.24107e-05,2.00254,0.991813,0.0138361
413,1.21009e-05,2.00251,0.991916,0.0136623
414,1.17989e-05,2.00248,0.992017,0.0134907
415,1.15043e-05,2.00245,0.992118,0.0133212
416,1.12171e-05,2.00242,0.992217,0.0131539
417,1.09371e-05,2.00239,0.992314,0.0129887
418,1.06641e-05,2.00236,0.992411,0.0128255
419,1.03979e-05,2.00233,0.992506,0.0126645
420,1.01383e-05,2.0023,0.9926,0.0125054
421,9.88524e-06,2.00227,0.992693,0.0123483
422,9.63847e-06,2.00224,0.992785,0.0121932
423,9.39786e-06,2.00221,0.992876,0.0120401
424,9.16326e-06,2.00219,0.992965,0.0118888
425,8.93452e-06,2.00216,0.993054,0.0117395
426,8.71148e-06,2.00213,0.993141,0.011592
427,8.49402e-06,2.0021,0.993227,0.0114464
428,8.28198e-06,2.00208,0.993312,0.0113027
429,8.07523e-06,2.00205,0.993396,0.0111607
430,7.87365e-06,2.00203,0.993479,0.0110205
431,7.6771e-06,2.002,0.993561,0.0108821
432,7.48545e-06,2.00198,0.993642,0.0107454
433,7.29859e-06,2.00195,0.993722,0.0106104
434,7.1164e-06,2.00193,0.9938,0.0104772
435,6.93875e-06,2.0019,0.993878,0.0103456
436,6.76554e-06,2.00188,0.993955,0.0102156
437,6.59665e-06,2.00185,0.994031,0.0100873
438,6.43197e-06,2.00183,0.994106,0.00996061
439,6.27141e-06,2.00181,0.99418,0.0098355
440,6.11486e-06,2.00179,0.994253,0.00971197
441,5.96221e-06,2.00176,0.994325,0.00958998
442,5.81337e-06,2.00174,0.994397,0.00946952
443,5.66825e-06,2.00172,0.994467,0.00935058
444,5.52676e-06,2.0017,0.994537,0.00923313
445,5.38879e-06,2.00168,0.994605,0.00911716
446,5.25427e-06,2.00166,0.994673,0.00900265
447,5.12311e-06,2.00163,0.99474,0.00888957
448,4.99522e-06,2.00161,0.994806,0.00877791
449,4.87052e-06,2.00159,0.994871,0.00866766
450,4.74894e-06,2.00157,0.994936,0.00855879
451,4.63039e-06,2.00155,0.994999,0.00845128
452,4.5148e-06,2.00153,0.995062,0.00834513
453,4.4021e-06,2.00152,0.995124,0.00824031
454,4.29221e-06,2.0015,0.995185,0.00813681
455,4.18506e-06,2.00148,0.995246,0.00803461
456,4.08059e-06,2.00146,0.995305,0.00793369
457,3.97872e-06,2.00144,0.995364,0.00783404
458,3.8794e-06,2.00142,0.995423,0.00773564
459,3.78256e-06,2.0014,0.99548,0.00763848
460,3.68813e-06,2.00139,0.995537,0.00754253
461,3.59607e-06,2.00137,0.995593,0.0074478
462,3.5063e-06,2.00135,0.995648,0.00735425
463,3.41877e-06,2.00134,0.995703,0.00726188
464,3.33342e-06,2.00132,0.995757,0.00717066
465,3.25021e-06,2.0013,0.99581,0.0070806
466,3.16908e-06,2.00129,0.995863,0.00699166
467,3.08997e-06,2.00127,0.995915,0.00690384
468,3.01283e-06,2.00125,0.995966,0.00681713
469,2.93762e-06,2.00124,0.996017,0.0067315
470,2.86429e-06,2.00122,0.996067,0.00664695
471,2.79279e-06,2.00121,0.996116,0.00656346
472,2.72307e-06,2.00119,0.996165,0.00648102
473,2.65509e-06,2.00118,0.996213,0.00639962
474,2.58881e-06,2.00116,0.996261,0.00631923
475,2.52419e-06,2.00115,0.996308,0.00623986
476,2.46118e-06,2.00113,0.996354,0.00616148
477,2.39974e-06,2.00112,0.9964,0.00608409
478,2.33983e-06,2.0011,0.996445,0.00600767
479,2.28142e-06,2.00109,0.99649,0.00593222
480,2.22447e-06,2.00108,0.996534,0.0058577
481,2.16894e-06,2.00106,0.996577,0.00578413
482,2.1148e-06,2.00105,0.99662,0.00571148
483,2.06201e-06,2.00104,0.996663,0.00563974
484,2.01053e-06,2.00102,0.996705,0.0055689
485,1.96034e-06,2.00101,0.996746,0.00549895
486,1.91141e-06,2.001,0.996787,0.00542988
487,1.86369e-06,2.00099,0.996827,0.00536168
488,1.81717e-06,2.00097,0.996867,0.00529434
489,1.77181e-06,2.00096,0.996907,0.00522784
490,1.72758e-06,2.00095,0.996945,0.00516217
491,1.68445e-06,2.00094,0.996984,0.00509733
492,1.6424e-06,2.00093,0.997022,0.00503331
493,1.6014e-06,2.00091,0.997059,0.00497009
494,1.56142e-06,2.0009,0.997096,0.00490766
495,1.52245e-06,2.00089,0.997133,0.00484602
496,1.48444e-06,2.00088,0.997169,0.00478515
497,1.44739e-06,2.00087,0.997204,0.00472505
498,1.41125e-06,2.00086,0.997239,0.0046657
499,1.37602e-06,2.00085,0.997274,0.00460709
500,1.34167e-06,2.00084,0.997308,0.00454923
501,1.30818e-06,2.00083,0.997342,0.00449209
502,1.27553e-06,2.00082,0.997375,0.00443566
503,1.24368e-06,2.00081,0.997408,0.00437995
504,1.21264e-06,2.0008,0.997441,0.00432493
505,1.18237e-06,2.00079,0.997473,0.00427061
506,1.15285e-06,2.00078,0.997505,0.00421697
507,1.12407e-06,2.00077,0.997536,0.004164
508,1.09601e-06,2.00076,0.997567,0.0041117
509,1.06865e-06,2.00075,0.997598,0.00406006
510,1.04197e-06,2.00074,0.997628,0.00400906
511,1.01596e-06,2.00073,0.997658,0.0039587
512,9.90602e-07,2.00072,0.997687,0.00390898
513,9.65874e-07,2.00071,0.997716,0.00385988
514,9.41762e-07,2.0007,0.997745,0.0038114
515,9.18253e-07,2.00069,0.997773,0.00376353
516,8.9533e-07,2.00068,0.997801,0.00371626
517,8.7298e-07,2.00067,0.997829,0.00366958
518,8.51188e-07,2.00067,0.997856,0.00362349
519,8.29939e-07,2.00066,0.997883,0.00357797
520,8.09221e-07,2.00065,0.997909,0.00353303
